Datetime_UTC,Datetime_local,Lat_N,Lon_E,Site_description,Depth,Temperature,Salinity,TA,DIC,Nitrate,Ammonium,Ammonium_flag,Phosphate,Silicate,pH
2012-06-06T18:44Z,2012-06-07T07:44,-2.818,-171.727,Kanton; Ocean,1,28.52,35.42,2342.1,2015.6,3.553,1.232,1,0.358,1.702,
2012-06-06T18:44Z,2012-06-07T07:44,-2.818,-171.727,Kanton; Ocean,8,28.77,35.49,2339.3,2027.0,3.226,0.655,1,0.339,1.745,
2012-06-06T19:05Z,2012-06-07T08:05,-2.813,-171.720,Kanton; Ocean,1,30.22,35.44,2343.3,2020.3,3.426,0.480,1,0.259,1.786,
2012-06-06T19:15Z,2012-06-07T08:15,-2.812,-171.715,Kanton; Channel,1,27.97,35.45,2339.9,2015.1,3.377,0.283,1,0.170,1.749,
2012-06-06T19:24Z,2012-06-07T08:24,-2.812,-171.715,Kanton; Channel,8,29.21,35.45,2344.9,2025.5,3.307,0.155,1,0.392,1.718,
2012-06-06T19:57Z,2012-06-07T08:57,-2.805,-171.707,Kanton; Channel,1,28.15,35.48,2336.8,2018.4,3.387,0.276,1,0.249,1.770,
2012-06-06T20:08Z,2012-06-07T09:08,-2.805,-171.707,Kanton; Channel,4,28.79,35.54,2334.1,2012.4,2.799,0.818,1,0.165,1.504,
2012-06-06T20:48Z,2012-06-07T09:48,-2.810,-171.706,Kanton; Lagoon,1,28.96,37.03,2283.0,1946.7,0.110,0.369,1,0.030,2.232,
2012-06-06T20:54Z,2012-06-07T09:54,-2.810,-171.706,Kanton; Lagoon,8,29.07,37.63,2268.2,1940.5,0.161,0.200,1,0.047,2.427,
2012-06-06T21:32Z,2012-06-07T10:32,-2.828,-171.664,Kanton; Lagoon,1,28.79,38.11,2260.8,1912.7,,0.297,1,0.031,2.500,
2012-06-06T21:39Z,2012-06-07T10:39,-2.828,-171.664,Kanton; Lagoon,8,29.09,38.07,2260.6,1913.1,0.085,0.831,1,0.043,2.557,
2012-06-06T22:11Z,2012-06-07T11:11,-2.846,-171.639,Kanton; Lagoon,1,28.92,38.56,2248.3,1882.8,,0.091,1,0.028,2.606,
2012-06-06T22:30Z,2012-06-07T11:30,-2.860,-171.621,Kanton; Lagoon,1,28.00,38.65,2247.3,1872.5,,0.034,1,0.026,2.645,
2012-06-07T00:45Z,2012-06-07T13:45,-2.846,-171.639,Kanton; Lagoon,1,29.46,38.56,2230.0,1891.1,,0.034,1,0.025,2.634,
2012-06-07T00:59Z,2012-06-07T13:59,-2.828,-171.664,Kanton; Lagoon,1,31.89,38.45,2255.4,1895.0,,0.144,1,0.025,2.577,
2012-06-07T01:04Z,2012-06-07T14:04,-2.828,-171.664,Kanton; Lagoon,8,29.71,38.28,2259.7,1899.7,,0.034,1,0.025,2.774,
2012-06-07T01:19Z,2012-06-07T14:19,-2.810,-171.706,Kanton; Lagoon,1,30.34,37.74,2263.1,1921.8,,0.248,1,0.038,2.574,
2012-06-07T01:25Z,2012-06-07T14:25,-2.810,-171.706,Kanton; Lagoon,8,29.49,37.81,2263.9,1935.9,0.400,0.273,1,0.051,2.627,
2012-06-07T01:45Z,2012-06-07T14:45,-2.805,-171.707,Kanton; Channel,1,29.49,35.75,2312.2,1989.9,2.721,0.302,1,0.052,1.847,
